n,Raw,Function 1,Function 2,Function 3
1000,1403500,1403,140.8318663,44.38256696
2000,473200,236,21.57620411,5.290536835
3000,802900,267,23.17021906,4.886293794
4000,1016100,254,21.22928125,4.016487913
5000,2595300,519,42.24219968,7.340616917
6000,3396700,566,45.10621371,7.30853474
7000,2673100,381,29.89644303,4.564236565
8000,3831300,478,36.9366395,5.354404526
9000,4249900,472,35.94865727,4.977542158
10000,2967400,296,22.33191023,2.9674
11000,3125400,284,21.1637023,2.709047251
12000,4047400,337,24.89038713,3.078961499
13000,5931100,456,33.38438339,4.001476014
14000,5568100,397,28.87659978,3.361359576
15000,3022400,201,14.524476,1.645186177
16000,7814700,488,34.97252571,3.861289255
17000,2292000,134,9.593763506,1.034049267
18000,1979900,109,7.78131767,0.819850183
19000,2141300,112,7.928963356,0.817611734
20000,1521200,76,5.323455427,0.537825418
21000,5030300,239,16.68313125,1.652969897
22000,5971900,271,18.81774261,1.830115527
23000,3134900,136,9.406911653,0.898735585
24000,12721600,530,36.42882901,3.421565621
25000,6502900,260,17.80440802,1.645118032
26000,4259100,163,11.16930564,1.015916035
27000,3564600,132,8.968491665,0.803461658
28000,3732500,133,9.023374759,0.796641211
29000,6002200,206,13.96220258,1.215383863
30000,6669700,222,14.94844304,1.283584363
31000,8861600,285,19.15941262,1.623564707
32000,5084700,158,10.61734367,0.888260535
33000,4093400,124,8.263887404,0.682831072
34000,7957500,234,15.54774964,1.26928244
35000,5886600,168,11.14195572,0.89900573
36000,10238900,284,18.79091911,1.498992812
37000,6834700,184,12.17256862,0.960321983
38000,8403100,221,14.53519124,1.134394565
39000,6104600,156,10.26334607,0.792611377
40000,10310700,257,16.86109037,1.2888375
41000,4269400,104,6.795628925,0.514269846
42000,2027900,48,3.143834717,0.235598543
43000,2211400,51,3.341199527,0.24800739
44000,3407200,77,5.020115383,0.369163379
45000,5571000,123,8.008985911,0.583598797
46000,3367000,73,4.725548195,0.341276488
47000,3142800,66,4.308407054,0.308439477
48000,4146200,86,5.554663571,0.394265151
49000,3178500,64,4.163369044,0.293040803
50000,2713100,54,3.476185123,0.242667041
51000,2585300,50,3.241557574,0.224468643
52000,2497800,48,3.066125914,0.210645723
53000,5286100,99,6.355270314,0.43323304
54000,3167500,58,3.731227787,0.252421291
55000,6289900,114,7.262384734,0.487640431
