n,Naive,Merge
4000,37474500,3771400
5000,21158800,3491700
6000,9911400,1125600
7000,20561200,2891400
8000,25454900,3555300
9000,18176500,2240500
10000,28050400,2168100
11000,32169500,2433600
12000,39822500,8509600
13000,37870700,2667600
14000,44031500,5245100
15000,55165300,7413400
16000,55167900,3038500
17000,61720300,6666900
18000,86937500,2643100
19000,82147700,3637000
20000,108045900,4880200
21000,99203100,3015000
22000,106549600,4063100
23000,180257700,3597300
24000,226771100,18225100
25000,152782600,5921800
26000,203892300,6211600
27000,171078100,19125400
28000,182031300,9882600
29000,183715100,6030300
30000,192171300,9448600
31000,201819700,8183000
32000,227360600,6179800
33000,309657400,6724700
34000,294272500,13160400
35000,329287300,9497500
36000,293320800,7267700
37000,332441700,8094200
38000,482153800,9779200
39000,913492800,16233800
40000,1106803900,11644300
41000,1145673300,21327900
42000,774055600,20448700
43000,843415400,19427500
44000,685858900,11938800
45000,799693500,12661100
46000,983264500,14166100
47000,894406800,10305500
48000,1182109900,17206400
49000,1026840400,32617400
50000,1267819200,7738200
51000,2154029600,20799900
52000,1925852100,18529600
53000,1575008300,19878600
54000,1304819900,20334900
55000,1494086900,29983100
56000,1251154600,17944400
57000,2328529100,22915800
58000,1543717600,21749900
59000,2176779000,28199600
60000,1669418800,26432400
61000,2048991800,16603300
62000,2071857300,27409000
63000,2863987800,28890100
64000,2788263100,18964300
65000,2391975800,16995900
66000,3166430600,38210500
67000,1916167100,20028600
68000,1822144100,25687600
69000,1820067800,18511200
70000,1951441100,23363900
71000,1994282800,25561900
72000,1909606400,24578300
73000,2370494700,19444500
74000,2278324100,22923400
75000,2090990700,16331300
76000,2485230200,33435900
77000,2320949400,23182400
78000,2688452000,22416000
79000,3980835000,45112800
80000,2704102100,18996100
81000,2506417400,28976700
82000,2593814300,25392700
83000,2623903400,31112000
84000,2678023900,20873100
85000,2799092300,23587700
86000,2866357500,29949700
87000,2941240800,26252000
88000,2884664000,27069400
89000,3377310600,27101900
90000,3586806400,43596900
91000,3092216500,31935500
92000,3405972000,30656800
93000,3505027900,34622400
94000,3319913600,23683600
95000,3562827300,24141000
96000,3647419500,26543600
97000,4045791100,32699900
98000,4285563700,37912200
99000,3672188300,34098000
100000,3972634300,22447300
101000,3823457800,27805000
102000,3919390400,26574700
103000,4152296700,43255600
104000,4295172800,33317700
105000,4554460600,42465800
106000,4340325800,31633200
107000,4491987800,41469600
108000,4946802000,32500200
109000,4379617800,36892200
110000,4831080000,37156700
111000,4858472400,40604000
112000,5411341500,29928200
113000,5024412300,33501800
114000,4992286900,26475800
115000,5926210000,35274900
116000,5448192200,44394200
117000,5896703100,39274400
118000,5585808200,42397000
119000,5235307200,40274900
120000,5510047200,26220500
121000,5727113300,34496900
122000,6543838300,31107000
123000,6034061500,39246000
124000,6040856500,35909400
125000,6556809600,44926200
126000,6059696200,36483500
127000,6866883300,39067100
128000,6481820400,47131100
129000,6200968300,53657800
130000,7213754200,39389200
131000,7784643900,45349000
132000,7146269400,43584200
133000,6645796400,48542600
134000,7148056400,26282400
135000,7200618700,35916600
136000,8337608100,61254600
137000,7848865200,33748800
138000,7320503500,40435700
139000,8150408500,41576500
140000,16760612800,58547300
141000,6362675600,57635800
142000,6342290000,77496800
143000,6362649700,44402600
144000,6910277800,32950700
145000,9856180200,54459800
146000,10194109500,41891900
147000,10896549600,74969300
148000,7505774200,46280400
149000,6333234400,28254000
150000,6349487700,38583100
